cellid,x,y,celltype,nearest_B_id,nearest_B_dist,B_count_within_R,radius
344,64.9739,74.2843,A,24259,0.0859127,21,1
346,71.6075,85.6493,A,73446,0.221122,26,1
348,6.11644,20.6694,A,92983,0.188816,17,1
349,54.7052,52.9459,A,37080,0.0559471,26,1
352,52.6557,2.63487,A,93896,0.0305158,28,1
353,1.75574,15.3809,A,55112,0.26915,26,1
356,54.8975,28.0674,A,12063,0.267379,27,1
357,39.3704,76.5988,A,87517,0.253662,17,1
361,87.0872,43.4473,A,71865,0.0433577,20,1
363,28.0802,52.493,A,99955,0.387689,19,1
365,21.4195,81.6749,A,12761,0.186689,20,1
371,95.8463,85.4951,A,77569,0.441017,13,1
376,11.2304,43.1132,A,49396,0.15075,20,1
377,83.4872,49.0345,A,86319,0.142264,21,1
378,72.5054,77.609,A,86151,0.265093,16,1
379,30.1098,77.462,A,35067,0.173141,16,1
382,41.0238,11.1796,A,31893,0.221088,16,1
386,69.116,80.9259,A,8439,0.282,20,1
387,4.72673,91.5362,A,40673,0.166663,23,1
392,13.4568,85.7323,A,36235,0.390078,20,1
398,34.0026,76.7543,A,21215,0.171776,30,1
402,93.6473,24.7525,A,4768,0.37833,19,1
403,83.024,72.3104,A,24823,0.0585001,25,1
406,14.4185,84.5345,A,77463,0.170813,25,1
408,12.3537,98.4495,A,59437,0.17964,23,1
412,10.7243,91.4324,A,22563,0.144512,23,1
414,75.1242,56.9551,A,46949,0.149401,23,1
415,19.8474,26.9969,A,15728,0.249453,12,1
427,87.0141,53.9221,A,70781,0.276273,18,1
428,46.9741,89.309,A,86266,0.123066,17,1
429,62.991,71.9328,A,7298,0.0585187,19,1
432,73.761,79.1971,A,45266,0.107007,21,1
435,90.333,1.79972,A,52802,0.0129122,20,1
436,46.5492,83.5878,A,86383,0.237124,17,1
439,99.4047,51.3034,A,59424,0.306138,28,1
443,84.7227,62.231,A,89869,0.0363138,20,1
444,43.2135,78.3929,A,36992,0.0222784,13,1
452,72.8617,81.7834,A,58055,0.0625801,15,1
457,58.1496,47.165,A,98663,0.224861,20,1
459,33.9222,34.3216,A,78728,0.139898,17,1
460,82.8614,89.2874,A,82894,0.316981,21,1
461,34.4724,48.2327,A,10673,0.177794,14,1
466,17.0891,65.5301,A,87786,0.439205,14,1
471,12.6631,67.2913,A,13147,0.226879,25,1
472,78.7934,1.82669,A,3751,0.171014,27,1
474,72.9877,11.5947,A,99705,0.067815,16,1
476,48.1745,89.5767,A,99157,0.178693,23,1
483,93.1582,56.8064,A,21807,0.277344,15,1
484,3.70851,49.6375,A,75145,0.122127,23,1
486,33.3956,2.50132,A,45413,0.0796539,15,1
487,72.691,83.3819,A,10228,0.148657,27,1
493,45.6518,81.8109,A,55941,0.322795,21,1
500,78.3742,42.6639,A,54890,0.250306,26,1
502,46.3926,82.91,A,87645,0.180938,22,1
504,64.2135,52.7027,A,9421,0.232124,20,1
510,48.1483,80.0506,A,14826,0.209207,25,1
513,4.01249,72.4225,A,20100,0.171524,24,1
514,53.0489,17.5224,A,84519,0.11186,27,1
515,86.2692,60.6922,A,44316,0.247043,27,1
517,98.4152,71.6546,A,5383,0.112004,23,1
519,36.4915,70.228,A,17814,0.020475,17,1
520,11.1641,13.1332,A,92235,0.0299398,28,1
522,45.8898,33.7935,A,18179,0.337447,17,1
524,14.2154,87.4142,A,79426,0.259038,20,1
525,82.0605,92.5998,A,89725,0.296581,19,1
528,54.7078,76.7545,A,21757,0.279681,28,1
531,95.7017,91.0816,A,65914,0.137418,28,1
533,97.7214,39.7284,A,81673,0.225915,21,1
535,92.3968,39.2638,A,19836,0.207417,21,1
541,46.4579,89.794,A,63651,0.23273,15,1
542,53.579,39.0587,A,35811,0.0555081,29,1
546,92.7457,41.9135,A,60685,0.0683097,21,1
547,86.9689,70.5144,A,36232,0.055607,24,1
548,27.558,90.8809,A,47219,0.143636,24,1
549,90.4551,21.0176,A,43097,0.13441,21,1
558,30.3478,63.9673,A,81653,0.136001,29,1
560,72.415,57.6802,A,47468,0.045807,18,1
563,29.3611,5.8187,A,74832,0.157197,25,1
564,73.5525,95.8297,A,34835,0.177962,27,1
565,42.7891,34.8541,A,69370,0.137023,27,1
573,83.351,25.3675,A,481,0.096878,24,1
574,26.051,85.3788,A,58018,0.304554,16,1
576,11.9751,51.9993,A,36967,0.159753,26,1
583,97.4542,53.4535,A,32235,0.231687,28,1
584,35.9017,50.6327,A,93434,0.231475,20,1
586,21.2907,97.1376,A,22168,0.139839,27,1
593,32.276,5.68612,A,18358,0.185019,20,1
596,36.5348,88.0535,A,88637,0.281684,25,1
599,9.05,25.0342,A,22123,0.060656,20,1
602,29.7703,13.8886,A,60495,0.282027,26,1
606,40.1424,22.5556,A,38556,0.202626,20,1
607,12.9133,26.0651,A,53617,0.126062,23,1
608,50.4307,98.1931,A,46830,0.38291,20,1
609,72.6251,70.0122,A,15610,0.0968301,28,1
614,8.27334,18.6223,A,88992,0.184004,17,1
615,17.5527,72.9965,A,20727,0.0308267,12,1
616,11.0157,10.1677,A,18146,0.298804,24,1
619,0.819931,13.3171,A,4914,0.276285,22,1
623,14.9331,92.0869,A,92467,0.193817,20,1
626,60.2617,39.176,A,942,0.221072,18,1
628,45.2404,8.72724,A,18737,0.219784,24,1
630,22.5219,84.4679,A,61188,0.093663,22,1
638,93.0738,18.8558,A,40889,0.0734535,25,1
639,7.68758,79.4702,A,26788,0.170391,17,1
643,69.3125,54.7301,A,92723,0.105968,20,1
651,26.3596,48.6337,A,33721,0.0811965,22,1
652,36.7484,57.7465,A,14662,0.187203,25,1
664,43.725,62.9593,A,70546,0.237095,28,1
666,85.0161,75.6256,A,53191,0.151394,28,1
668,52.2621,29.4778,A,37286,0.153511,25,1
670,89.06,34.118,A,71506,0.126105,30,1
671,96.3713,52.0348,A,20513,0.0919182,23,1
673,30.6348,79.4864,A,7431,0.0701484,20,1
674,85.3573,91.3495,A,53238,0.253299,19,1
677,79.3548,42.1948,A,59876,0.0571889,29,1
679,56.0317,93.5808,A,73919,0.398638,23,1
684,70.9578,88.3672,A,72446,0.307649,22,1
687,86.0464,32.4609,A,41123,0.18202,11,1
688,29.4544,40.7558,A,10088,0.237074,23,1
690,60.7565,12.522,A,36566,0.510754,22,1
692,20.7328,69.9307,A,2665,0.125662,23,1
693,98.7822,33.2346,A,58997,0.156601,26,1
694,16.8218,36.9204,A,13964,0.0673989,25,1
696,16.1588,99.1318,A,13263,0.35027,18,1
698,23.5293,33.6417,A,78952,0.101632,16,1
699,98.5835,38.1276,A,81566,0.202894,21,1
700,8.23103,76.9858,A,42491,0.337762,27,1
703,20.6198,50.1823,A,95537,0.0868887,13,1
704,88.3082,17.3449,A,11865,0.133708,19,1
705,26.2048,12.7143,A,42427,0.278224,16,1
706,28.7602,46.2958,A,99564,0.130316,19,1
709,21.5889,82.9323,A,74378,0.267993,19,1
715,0.633198,65.4032,A,43045,0.202944,14,1
718,56.5855,75.8934,A,30609,0.128396,22,1
719,96.5256,4.48805,A,63067,0.0442634,15,1
720,25.7312,41.6104,A,65704,0.348992,28,1
724,13.8262,45.137,A,96255,0.124329,19,1
725,82.4468,13.3543,A,78404,0.0980553,23,1
727,84.5941,71.1659,A,25066,0.141535,26,1
728,51.4333,26.9364,A,49913,0.151524,21,1
730,87.0741,20.8372,A,3966,0.191368,17,1
731,87.8359,81.4172,A,75425,0.1485,28,1
733,35.1421,58.7561,A,72568,0.0796061,24,1
734,34.1844,2.16264,A,89459,0.285989,25,1
737,47.6583,70.4793,A,94158,0.101753,24,1
739,71.7684,37.6469,A,73492,0.141339,20,1
741,7.06472,73.4679,A,90347,0.197635,26,1
742,3.21615,26.6731,A,31033,0.231333,21,1
748,87.4043,84.2892,A,14060,0.126908,31,1
749,53.0044,12.6779,A,45024,0.0441839,29,1
751,84.1479,53.576,A,81393,0.077742,27,1
753,88.803,3.47617,A,63920,0.0447541,20,1
756,98.7067,89.8573,A,79060,0.0786331,24,1
758,51.7791,35.6248,A,1639,0.155355,21,1
761,45.7574,75.9126,A,29265,0.161843,17,1
766,30.9549,54.0961,A,38406,0.292211,15,1
773,20.8389,0.408625,A,23720,0.117966,18,1
779,93.7451,8.42214,A,27256,0.575156,18,1
784,6.19777,45.1699,A,89914,0.14776,24,1
786,0.0762668,65.4875,A,4573,0.132428,8,1
794,35.0699,85.7743,A,88032,0.15988,24,1
796,88.7418,0.267947,A,71864,0.157928,23,1
798,37.0466,0.984966,A,9513,0.218163,14,1
802,59.2311,35.9068,A,12604,0.225946,18,1
806,54.8758,62.0969,A,92335,0.0301743,19,1
807,93.9928,73.8126,A,75753,0.161175,18,1
809,55.7691,86.6007,A,75635,0.33249,25,1
810,32.0242,7.40662,A,63099,0.324012,15,1
817,61.3055,4.73127,A,94554,0.362178,24,1
822,63.1312,92.6636,A,6168,0.277176,21,1
824,86.6268,92.4317,A,40280,0.16399,23,1
837,75.1537,84.8927,A,93200,0.0959501,28,1
843,38.5203,56.4588,A,94964,0.0523639,27,1
846,70.3302,30.2025,A,50801,0.528933,19,1
847,13.1288,42.4722,A,62479,0.154028,26,1
853,78.686,44.452,A,10251,0.307119,18,1
856,97.7392,46.385,A,86736,0.273317,23,1
867,41.1536,45.1241,A,5475,0.0876058,31,1
875,85.8382,92.434,A,41969,0.359314,29,1
879,68.9752,59.0142,A,30241,0.211249,20,1
881,27.3511,69.8014,A,23645,0.105344,19,1
883,46.0791,84.6181,A,81410,0.102855,19,1
885,20.249,92.924,A,68069,0.0195198,21,1
887,46.4846,64.1556,A,37794,0.12019,27,1
890,70.9784,18.4727,A,7047,0.177983,11,1
893,86.3242,84.9301,A,79510,0.106277,32,1
895,18.6172,66.9103,A,63928,0.22215,19,1
898,73.1848,12.3074,A,39438,0.0726599,12,1
900,7.45129,96.5876,A,24488,0.360003,18,1
902,64.5054,39.7092,A,46997,0.276923,18,1
912,73.1509,52.1022,A,96498,0.323249,18,1
925,39.6315,4.13273,A,26413,0.177515,27,1
928,82.224,21.6032,A,12400,0.0656852,23,1
929,55.295,92.5083,A,20151,0.444303,15,1
930,84.7001,77.4097,A,15497,0.421127,13,1
932,72.0185,13.9566,A,66901,0.117707,20,1
934,13.0933,95.424,A,2380,0.0557951,21,1
936,91.2724,5.16428,A,36424,0.0207082,27,1
937,70.4003,92.8872,A,7719,0.11399,27,1
938,38.9792,14.2721,A,26865,0.178684,27,1
940,59.7301,52.2258,A,97964,0.245003,27,1
941,31.8216,83.8846,A,37347,0.00306047,20,1
945,3.47185,21.6747,A,58591,0.198653,8,1
951,13.2484,75.8752,A,89359,0.182484,24,1
954,75.7676,82.9983,A,65206,0.329787,24,1
957,39.3938,57.984,A,6651,0.0779712,16,1
958,20.8361,72.641,A,93681,0.0690222,23,1
959,86.748,42.635,A,5386,0.209765,21,1
968,4.75256,10.62,A,33094,0.219346,24,1
971,98.7688,56.4237,A,3213,0.1201,20,1
975,10.9123,34.4564,A,72037,0.316124,20,1
979,8.60776,52.2339,A,37700,0.20301,17,1
981,33.4958,37.1842,A,70272,0.372737,24,1
982,35.7027,9.64183,A,75794,0.264103,29,1
984,17.862,42.6585,A,73650,0.122751,22,1
985,30.1243,92.3874,A,5220,0.306309,25,1
989,30.9054,35.5608,A,68132,0.155216,29,1
1001,2.26751,44.1884,A,85796,0.0460325,23,1
1002,79.3796,32.1782,A,62331,0.118248,17,1
1003,26.406,74.6452,A,74496,0.44058,22,1
1007,1.40887,18.8662,A,68204,0.1481,24,1
1010,41.5817,46.8882,A,68921,0.25953,23,1
1012,32.1885,34.8703,A,369,0.370761,16,1
1014,86.2106,41.7151,A,58352,0.208979,19,1
1023,74.7484,77.2724,A,96363,0.119141,23,1
1024,15.5286,46.9656,A,91032,0.477421,22,1
1027,48.7774,88.936,A,71258,0.116343,19,1
1029,94.2344,91.8542,A,41061,0.091943,21,1
1034,72.2198,63.4342,A,56332,0.0713063,10,1
1036,99.3301,80.142,A,61743,0.086387,20,1
1038,61.8347,12.1108,A,60949,0.270926,19,1
1041,39.8761,1.33994,A,15233,0.10939,34,1
1043,62.1376,78.9985,A,12020,0.0864716,18,1
1048,96.4013,72.4939,A,63326,0.13548,20,1
1050,48.3218,14.5596,A,31942,0.128323,21,1
1051,17.8643,43.7,A,45428,0.155722,22,1
1053,79.7141,21.011,A,48255,0.227306,20,1
1055,68.4978,58.1028,A,40975,0.175121,18,1
1059,28.9708,14.0771,A,87187,0.11803,27,1
1068,44.6456,31.057,A,53536,0.164653,26,1
1069,30.6999,42.1329,A,36923,0.142855,29,1
1076,73.225,56.6464,A,75965,0.101105,30,1
1084,17.5585,95.229,A,89700,0.173307,14,1
1090,25.3247,62.0491,A,59166,0.248005,27,1
1091,46.9059,61.226,A,88508,0.279418,26,1
1103,49.2797,29.8128,A,86131,0.23698,35,1
1105,48.1641,74.5827,A,42049,0.20447,25,1
1110,74.0487,30.9928,A,86455,0.121427,31,1
1115,38.8126,66.8054,A,52090,0.0974722,25,1
1118,10.8299,48.6129,A,45513,0.11798,19,1
1123,68.9584,91.0221,A,1551,0.31184,21,1
1124,78.8548,68.8374,A,30845,0.11926,22,1
1127,49.4921,34.6158,A,98684,0.308574,16,1
1132,31.2897,34.3781,A,10426,0.17451,19,1
1139,70.7233,6.22055,A,48890,0.197277,23,1
1140,11.9978,53.4049,A,90760,0.0553152,17,1
1144,79.0694,23.8583,A,14609,0.164428,23,1
1151,10.1985,8.62524,A,49240,0.0379776,25,1
1154,32.1944,71.708,A,72066,0.201878,21,1
1155,24.2407,27.6012,A,87866,0.294193,22,1
1159,97.5537,54.2636,A,92826,0.232414,26,1
1161,67.5283,26.0601,A,34099,0.10231,26,1
1165,32.8629,78.0659,A,82896,0.273344,20,1
1167,77.7497,96.1305,A,26191,0.162708,16,1
1170,79.0518,58.4971,A,65353,0.154077,23,1
1178,85.6484,77.7062,A,57466,0.170217,17,1
1184,99.0851,43.5673,A,77138,0.0762821,30,1
1186,90.3834,68.7907,A,97398,0.0950056,16,1
1190,89.4914,86.9706,A,20051,0.143353,20,1
1193,24.6178,97.8202,A,62723,0.111605,20,1
1195,73.0691,7.93229,A,58400,0.113784,25,1
1202,77.3992,59.7161,A,83977,0.109054,24,1
1204,93.0063,59.0361,A,86719,0.206383,26,1
1206,41.715,51.399,A,20514,0.137857,22,1
1210,75.218,86.7376,A,20744,0.214827,17,1
1215,55.7474,78.9923,A,1356,0.104822,21,1
1217,69.1711,71.7057,A,57830,0.30762,23,1
1219,8.84938,60.5544,A,32831,0.119418,19,1
1222,95.5319,96.6163,A,46819,0.132659,30,1
1225,51.2859,41.7145,A,51185,0.160088,19,1
1226,7.84902,28.9347,A,5689,0.44673,19,1
1233,61.8665,30.8685,A,7665,0.296923,24,1
1238,10.9889,78.373,A,23102,0.205246,32,1
1240,97.3154,78.7554,A,76107,0.181027,24,1
1246,49.9781,87.5536,A,110,0.194952,22,1
1249,58.5565,65.78,A,64989,0.158276,23,1
1250,37.3485,22.0863,A,7663,0.149396,25,1
1251,31.5399,28.5444,A,22985,0.123358,21,1
1252,67.2827,77.8559,A,96964,0.299171,20,1
1253,54.6381,15.1061,A,1382,0.16895,13,1
1256,35.4123,60.4297,A,46681,0.126709,18,1
1257,46.6096,52.6242,A,34257,0.0619512,19,1
1261,23.9707,84.4755,A,26858,0.0910317,23,1
1264,7.1135,83.9809,A,72393,0.196331,17,1
1265,29.9263,1.62557,A,49768,0.132767,22,1
1267,35.3611,1.26718,A,33806,0.154994,19,1
1269,36.3299,33.0101,A,73280,0.10372,18,1
1270,5.0151,75.8335,A,10719,0.367853,18,1
1273,21.1866,49.7429,A,4483,0.267683,18,1
1276,94.4546,79.478,A,93433,0.258982,19,1
1283,40.6049,56.2034,A,31468,0.322209,21,1
1284,60.4723,4.31385,A,80069,0.158337,24,1
1286,18.1685,85.8249,A,56666,0.23433,17,1
1287,36.2772,28.0993,A,21774,0.356794,20,1
1288,87.5961,45.4142,A,60790,0.0913442,26,1
1290,53.6221,82.1831,A,94463,0.160284,20,1
1292,9.02269,95.0747,A,90377,0.15728,29,1
1293,9.30356,28.7858,A,29864,0.1588,20,1
1295,91.3698,21.9082,A,86444,0.0364571,28,1
1296,32.3442,34.6156,A,86948,0.413758,17,1
1298,25.5674,0.542488,A,47755,0.227503,11,1
1309,42.0739,85.7422,A,90893,0.155383,32,1
1311,78.502,30.3815,A,46419,0.223691,24,1
1314,80.7064,40.034,A,75328,0.159606,22,1
1315,10.6165,25.2171,A,30199,0.116519,17,1
1316,77.9225,75.227,A,34193,0.216413,18,1
1319,90.7194,52.7046,A,50540,0.119462,24,1
1328,15.2496,34.2842,A,55063,0.09879,21,1
1335,85.6806,61.8501,A,10693,0.24089,20,1
1336,62.3377,22.6301,A,43226,0.0857643,25,1
1343,62.1569,10.3714,A,55088,0.0655847,32,1
1344,5.25374,16.6611,A,97250,0.572787,18,1
1346,95.6754,50.5884,A,20929,0.376469,21,1
1350,80.3149,31.8975,A,83669,0.0148794,20,1
1352,58.1648,63.8969,A,6912,0.0631865,20,1
1355,55.6486,68.6846,A,92264,0.219535,29,1
1359,18.9483,61.3143,A,25257,0.355082,17,1
1369,68.2631,1.02588,A,86520,0.204243,20,1
1371,10.1248,34.0544,A,47836,0.143941,16,1
1372,24.0457,77.5705,A,56328,0.260191,15,1
1374,58.4082,5.94935,A,48475,0.0762212,21,1
1377,47.7787,33.2087,A,43638,0.201707,16,1
1383,86.6523,26.7768,A,41294,0.309493,26,1
1384,28.3091,73.9195,A,27148,0.0930547,18,1
1386,28.1307,33.4671,A,24557,0.329766,27,1
1388,66.5064,1.31432,A,94898,0.0346461,24,1
1393,92.8704,27.4001,A,67857,0.148055,22,1
1401,80.805,46.0801,A,47125,0.215638,15,1
1405,75.722,37.6328,A,19505,0.106398,28,1
1408,1.5963,28.6129,A,69678,0.265361,21,1
1412,72.0237,11.6535,A,75890,0.281171,22,1
1414,59.6972,90.5668,A,42250,0.106802,28,1
1421,1.02184,17.4805,A,37592,0.143486,23,1
1422,38.2578,92.9503,A,62001,0.262697,29,1
1425,59.7475,7.89675,A,72739,0.0594743,15,1
1427,50.1073,3.03629,A,82671,0.487787,21,1
1429,71.6535,53.503,A,79818,0.319702,17,1
1431,3.21324,40.8278,A,64973,0.138836,29,1
1432,56.1968,46.4136,A,32915,0.207221,24,1
1434,54.126,53.8552,A,77177,0.130246,19,1
1445,94.2729,81.3565,A,6104,0.275284,23,1
1447,50.6102,74.2171,A,9819,0.130735,21,1
1453,2.75902,74.8799,A,74791,0.136177,15,1
1456,35.5002,59.6422,A,84083,0.157623,17,1
1458,29.0101,85.2641,A,82736,0.0474224,21,1
1459,67.9515,92.4401,A,3581,0.0969804,22,1
1460,2.92904,18.9216,A,94838,0.16114,22,1
1462,98.3399,65.3049,A,79230,0.202286,27,1
1470,99.5432,33.1626,A,50100,0.357847,19,1
1471,45.4452,37.1448,A,28080,0.139152,27,1
1473,91.0724,47.8583,A,9187,0.240922,15,1
1479,46.6189,98.303,A,23011,0.156168,18,1
1484,2.6413,62.2344,A,77810,0.288122,16,1
1485,13.8421,18.1686,A,77598,0.313021,21,1
1490,94.0268,54.5093,A,43093,0.081465,24,1
1492,66.5194,91.6096,A,93665,0.157392,24,1
1493,71.8202,60.468,A,8772,0.136522,16,1
1495,78.2438,72.0457,A,33335,0.229203,27,1
1498,97.1745,62.57,A,78040,0.104183,24,1
1499,32.5806,51.0445,A,48053,0.101709,26,1
1500,67.362,91.3702,A,28612,0.0371033,22,1
1501,5.47382,95.0098,A,28317,0.121723,32,1
1502,70.357,27.3532,A,19739,0.123482,27,1
1510,29.6281,92.3144,A,5220,0.197745,20,1
1516,54.9639,39.1566,A,73591,0.108555,24,1
1517,77.6288,38.5,A,69445,0.122491,18,1
1520,7.91221,3.8994,A,89818,0.270748,22,1
1524,72.0383,99.8731,A,209,0.338837,8,1
1526,30.4082,82.6784,A,60537,0.131881,20,1
1528,61.4997,37.7513,A,24915,0.257399,17,1
1534,31.1348,10.8231,A,79175,0.340859,26,1
1542,66.9357,0.766141,A,73307,0.407798,20,1
1546,25.8668,90.6886,A,58263,0.161423,24,1
1548,21.4213,10.6527,A,7469,0.362321,17,1
1556,61.5843,8.24108,A,14937,0.137777,24,1
1559,38.7494,16.028,A,36928,0.133341,22,1
1563,32.574,22.1423,A,41498,0.0908098,26,1
1564,87.7467,85.226,A,9274,0.270026,21,1
1567,10.5915,40.0263,A,64572,0.0763412,28,1
1568,6.44866,47.5966,A,93240,0.295145,16,1
1571,89.9591,42.7411,A,17382,0.10184,19,1
1574,16.6938,0.705193,A,57670,0.223437,30,1
1575,93.1676,96.0881,A,77325,0.160233,18,1
1577,35.0961,57.1329,A,20659,0.268873,18,1
1579,73.5738,12.3527,A,94509,0.185693,10,1
1587,59.8139,63.9671,A,8839,0.331302,13,1
1597,28.2252,27.2746,A,48376,0.105445,23,1
1598,68.0801,32.9204,A,5301,0.419132,14,1
1602,8.10509,64.351,A,37991,0.225521,15,1
1604,3.78753,44.631,A,32935,0.294799,20,1
1607,44.8939,39.6689,A,17007,0.151757,28,1
1615,59.5738,56.7387,A,15799,0.156617,21,1
1616,84.1441,8.17948,A,92694,0.255363,15,1
1617,80.2976,29.4252,A,19612,0.233519,25,1
1620,46.6973,33.1082,A,99388,0.0391997,20,1
1621,88.6413,16.636,A,89708,0.0219149,19,1
1624,37.1427,23.7368,A,78599,0.268735,22,1
1634,30.247,88.9185,A,69914,0.0606383,19,1
1643,23.9996,91.2509,A,2736,0.010065,25,1
1647,4.4231,63.714,A,57692,0.334962,23,1
1649,17.6452,80.4578,A,34770,0.109141,14,1
1656,32.1644,58.8203,A,40576,0.324496,29,1
1658,38.1943,94.8351,A,30098,0.0922062,14,1
1662,80.8114,6.0497,A,50149,0.243681,29,1
1665,87.2559,50.5794,A,30403,0.212994,26,1
1669,24.2568,38.0739,A,1899,0.134069,17,1
1670,88.5146,32.1291,A,12251,0.0618073,29,1
1680,51.9336,34.3698,A,41904,0.195337,17,1
1686,25.8333,42.7917,A,54535,0.0544838,28,1
1687,61.3276,20.3822,A,72527,0.228672,16,1
1688,79.7904,52.8935,A,65745,0.129047,13,1
1695,0.875011,18.0414,A,3314,0.214732,21,1
1698,88.4779,31.0979,A,95470,0.120483,26,1
1699,48.8737,18.1891,A,63653,0.13566,23,1
1709,68.0612,82.2872,A,40963,0.194263,20,1
1712,1.59062,99.2841,A,65113,0.3138,17,1
